Date,Price,Open,High,Low,Volume,Change(%),DayName,Year
2013-01-17,681.0,674.85,685.9,671.5,1514272,1.06,Thursday,2013
2013-01-16,673.88,668.45,677.5,654.5,2054746,0.77,Wednesday,2013
2013-01-15,668.73,695.0,700.0,663.5,4131489,0.22,Tuesday,2013
2013-01-14,667.25,659.5,674.23,653.68,2895112,2.15,Monday,2013
2013-01-11,653.18,645.0,661.25,645.0,3902503,3.81,Friday,2013
2013-01-10,629.2,639.95,641.05,627.65,2261419,-1.43,Thursday,2013
2013-01-09,638.3,650.5,653.7,636.58,1567949,-1.82,Wednesday,2013
2013-01-08,650.13,647.5,652.15,647.15,1170935,0.42,Tuesday,2013
2013-01-07,647.43,650.0,652.0,645.13,910376,-0.33,Monday,2013
2013-01-04,649.6,642.5,650.5,640.45,2614380,1.45,Friday,2013
2013-01-03,640.3,632.5,642.0,629.98,1317565,1.37,Thursday,2013
2013-01-02,631.65,633.5,636.2,627.78,940123,-0.07,Wednesday,2013
2013-01-01,632.08,633.48,633.95,630.0,254790,0.66,Tuesday,2013
2012-12-31,627.93,630.5,632.8,626.0,352085,-0.92,Monday,2012
2012-12-28,633.75,627.0,636.0,625.38,750811,1.32,Friday,2012
2012-12-27,625.48,632.45,632.45,623.83,997079,-0.89,Thursday,2012
2012-12-26,631.1,633.5,634.58,627.65,717629,-0.32,Wednesday,2012
2012-12-24,633.1,631.0,635.55,630.05,627409,0.6,Monday,2012
2012-12-21,629.35,625.0,632.2,618.85,1228984,0.53,Friday,2012
2012-12-20,626.03,613.58,627.5,613.58,1157015,1.57,Thursday,2012
2012-12-19,616.33,608.05,618.28,608.05,3321030,1.82,Wednesday,2012
2012-12-18,605.33,607.35,612.5,598.5,2344241,0.43,Tuesday,2012
2012-12-17,602.75,619.58,624.45,601.05,2241449,-3.01,Monday,2012
2012-12-14,621.45,608.5,622.5,608.08,1098407,1.66,Friday,2012
2012-12-13,611.28,615.05,617.3,608.55,1148581,-0.26,Thursday,2012
2012-12-12,612.9,612.45,620.5,610.55,1243974,0.5,Wednesday,2012
2012-12-11,609.85,617.5,621.5,605.18,2463457,-1.41,Tuesday,2012
2012-12-10,618.6,631.05,633.4,615.6,1514715,-2.13,Monday,2012
2012-12-07,632.08,638.33,640.35,628.53,978607,-1.29,Friday,2012
2012-12-06,640.35,647.5,647.5,634.5,1185046,-1.33,Thursday,2012
2012-12-05,648.95,650.0,653.78,644.3,895029,-0.12,Wednesday,2012
2012-12-04,649.73,657.55,660.9,646.45,797560,-1.32,Tuesday,2012
2012-12-03,658.4,657.5,661.0,652.6,659756,0.21,Monday,2012
2012-11-30,657.0,647.5,662.5,645.55,1789647,1.22,Friday,2012
2012-11-29,649.05,655.0,656.0,646.18,1735289,0.22,Thursday,2012
2012-11-27,647.6,649.95,649.95,644.15,669080,0.12,Tuesday,2012
2012-11-26,646.85,644.0,647.85,642.5,228167,0.4,Monday,2012
2012-11-23,644.3,641.0,645.7,635.63,374838,0.95,Friday,2012
2012-11-22,638.23,641.05,642.05,635.5,305812,-0.45,Thursday,2012
2012-11-21,641.1,638.13,647.35,638.13,470872,0.74,Wednesday,2012
2012-11-20,636.4,637.5,641.45,628.03,628020,0.83,Tuesday,2012
2012-11-19,631.18,645.05,647.5,629.25,838143,-1.9,Monday,2012
2012-11-16,643.4,649.9,653.4,640.05,799445,-0.57,Friday,2012
2012-11-15,647.08,660.05,661.0,645.5,867701,-2.35,Thursday,2012
2012-11-13,662.65,667.58,668.6,661.03,71507,-0.69,Tuesday,2012
2012-11-12,667.25,660.0,674.0,660.0,733391,0.72,Monday,2012
2012-11-09,662.48,665.0,666.63,660.45,355691,-0.47,Friday,2012
2012-11-08,665.6,662.0,667.35,658.3,619522,-0.02,Thursday,2012
2012-11-07,665.75,662.5,666.68,660.75,529195,0.83,Wednesday,2012
2012-11-06,660.28,662.5,668.7,659.73,648733,-0.68,Tuesday,2012
2012-11-05,664.8,667.95,671.68,662.65,611913,-0.12,Monday,2012
2012-11-02,665.6,662.45,669.0,659.2,836987,1.21,Friday,2012
2012-11-01,657.63,657.45,660.18,655.1,789884,-0.02,Thursday,2012
2012-10-31,657.75,654.55,658.4,652.0,499768,0.3,Wednesday,2012
2012-10-30,655.75,652.2,661.0,652.2,402634,0.24,Tuesday,2012
2012-10-29,654.2,655.5,659.9,650.4,407814,-0.52,Monday,2012
2012-10-26,657.65,653.1,661.0,653.1,523675,0.0,Friday,2012
2012-10-25,657.68,657.5,661.95,652.13,1127235,0.06,Thursday,2012
2012-10-23,657.3,662.0,662.0,655.95,568348,-0.33,Tuesday,2012
2012-10-22,659.45,662.55,667.45,651.5,2698671,2.26,Monday,2012
2012-10-19,644.85,654.5,655.7,641.0,1412808,-1.35,Friday,2012
2012-10-18,653.68,643.13,655.5,640.1,723564,1.89,Thursday,2012
2012-10-17,641.58,650.65,652.45,636.0,798740,-0.98,Wednesday,2012
2012-10-16,647.95,648.5,655.1,643.9,641372,0.1,Tuesday,2012
2012-10-15,647.33,647.0,651.2,643.75,407264,-0.29,Monday,2012
2012-10-12,649.23,639.4,656.83,636.6,1234771,0.7,Friday,2012
2012-10-11,644.73,645.13,650.78,643.03,817763,0.01,Thursday,2012
2012-10-10,644.68,643.0,650.88,642.5,581989,-0.42,Wednesday,2012
2012-10-09,647.43,648.95,649.4,642.5,645577,0.17,Tuesday,2012
2012-10-08,646.35,655.0,657.63,642.73,842704,-0.87,Monday,2012
2012-10-05,652.0,655.13,659.68,527.5,1918055,-1.0,Friday,2012
2012-10-04,658.58,660.0,660.83,654.33,659642,-0.42,Thursday,2012
2012-10-03,661.33,650.5,662.5,650.5,1159115,1.51,Wednesday,2012
2012-10-01,651.48,647.5,654.9,646.53,897809,0.54,Monday,2012
2012-09-28,647.95,639.4,652.5,638.25,1456498,1.91,Friday,2012
2012-09-27,635.78,640.05,649.75,630.55,2802699,-1.09,Thursday,2012
2012-09-26,642.8,647.6,652.5,641.0,1646406,-0.59,Wednesday,2012
2012-09-25,646.6,645.05,654.88,641.15,1911847,0.29,Tuesday,2012
2012-09-24,644.73,655.0,656.5,638.5,2468510,-1.12,Monday,2012
2012-09-21,652.03,662.45,666.15,649.15,2123879,-1.36,Friday,2012
2012-09-20,661.0,647.5,668.45,645.8,2021253,1.71,Thursday,2012
